Country,Actual,Predicted,Accuracy (%)
Germany,672114,458059,91.343
Israel,79218,97099,91.343
Hong Kong,13633,16485,91.343
Brazil,302425,160201,91.343
Seychelles,946,14842,91.343
Latvia,11038,14874,91.343
Bulgaria,4289,7123,91.343
Russia,281421,540032,91.343
Indonesia,219203,125423,91.343
Trinidad and Tobago,2362,5446,91.343
Slovakia,23275,30795,91.343
Israel,111475,133949,91.343
Curacao,2135,18450,91.343
Northern Ireland,9967,16053,91.343
Palestine,4163,6013,91.343
Scotland,23593,29984,91.343
Liechtenstein,172,8268,91.343
Japan,38060,30507,91.343
Ireland,12195,17920,91.343
Italy,185676,175707,91.343
Belgium,20030,13627,91.343
Belgium,62125,72630,91.343
Finland,32543,59344,91.343
Lithuania,20712,36452,91.343
Guatemala,18985,11076,91.343
Australia,118973,79204,91.343
Portugal,11310,23881,91.343
Italy,89701,80123,91.343
Turkey,153665,172585,91.343
Lithuania,4649,7498,91.343
Canada,31925,37545,91.343
Germany,712564,463600,91.343
Hong Kong,39832,40089,91.343
Lithuania,5107,12409,91.343
Bulgaria,22663,33621,91.343
Austria,81349,60816,91.343
Colombia,252819,235081,91.343
Mexico,316713,214495,91.343
Poland,74152,52592,91.343
Hong Kong,40113,31817,91.343
Malta,3160,13807,91.343
Denmark,16913,25624,91.343
New Zealand,7308,8720,91.343
Dominican Republic,171433,199123,91.343
Mongolia,42622,53982,91.343
South Africa,3843,8149,91.343
Norway,43637,80505,91.343
Estonia,1670,6566,91.343
Kazakhstan,95239,289626,91.343
Czechia,59585,74988,91.343
Uruguay,30038,45786,91.343
Austria,14631,19415,91.343
Northern Ireland,12102,23923,91.343
Suriname,4892,19481,91.343
Estonia,1008,4869,91.343
Portugal,44511,46369,91.343
Bulgaria,1023,3636,91.343
Macao,6368,19521,91.343
Sri Lanka,13254,16032,91.343
Austria,49509,41897,91.343
Austria,24349,17141,91.343
Greenland,337,10231,91.343
Mexico,132856,64050,91.343
Azerbaijan,34851,39807,91.343
Uruguay,36880,44913,91.343
Paraguay,5975,9702,91.343
Sri Lanka,48953,27556,91.343
Greece,47475,34873,91.343
New Zealand,4846,7185,91.343
Oman,709,4547,91.343
Finland,17786,31112,91.343
Canada,22409,31904,91.343
United States,1872697,2279575,91.343
Ukraine,13410,11923,91.343
Norway,30596,64272,91.343
Chile,7162,9649,91.343
Belgium,86757,128921,91.343
Mexico,6243,9621,91.343
Chile,105740,155554,91.343
France,572908,558917,91.343
Canada,157830,144766,91.343
Belgium,44377,64170,91.343
France,93426,88781,91.343
Malaysia,107500,124190,91.343
Namibia,1628,5474,91.343
Austria,75127,70718,91.343
Isle of Man,541,10918,91.343
Spain,281054,189285,91.343
Romania,38169,29910,91.343
Guatemala,10866,17943,91.343
Russia,117333,212175,91.343
Slovenia,2741,7875,91.343
India,1473597,1875092,91.343
Albania,5491,11336,91.343
Malta,6684,26998,91.343
Poland,335286,236874,91.343
Portugal,86143,78561,91.343
Qatar,16593,24068,91.343
France,82003,84855,91.343
Maldives,4734,19436,91.343
Lithuania,10414,19650,91.343
Latvia,4339,11465,91.343
Slovenia,9091,17535,91.343
Malaysia,70594,65228,91.343
